speaker1,speaker2,line_count,scene_count,word_count
Andy,Angela,714,133,6577.0
Andy,Charles,79,12,713.0
Andy,Clark,154,21,1769.0
Andy,Creed,254,54,2376.0
Andy,Darryl,923,137,9527.0
Andy,David Wallace,169,19,1854.0
Andy,Deangelo,68,14,870.0
Andy,Dwight,2147,311,21108.0
Andy,Erin,1431,219,13430.0
Andy,Gabe,253,37,2721.0
Andy,Holly,72,9,755.0
Andy,Jan,72,8,594.0
Andy,Jim,1828,286,17744.0
Andy,Jo,29,3,357.0
Andy,Karen,78,18,569.0
Andy,Kelly,430,78,4248.0
Andy,Kevin,955,191,8764.0
Andy,Meredith,450,91,4120.0
Andy,Michael,1812,211,21462.0
Andy,Nellie,241,35,2596.0
Andy,Oscar,882,159,8494.0
Andy,Pam,1217,212,11662.0
Andy,Pete,125,17,1246.0
Andy,Phyllis,780,169,7437.0
Andy,Robert California,409,54,5142.0
Andy,Ryan,394,70,4089.0
Andy,Stanley,556,127,5408.0
Andy,Toby,233,37,2643.0
Andy,Todd Packer,5,1,54.0
Angela,Charles,45,8,457.0
Angela,Clark,28,8,206.0
Angela,Creed,141,43,1113.0
Angela,Darryl,125,31,980.0
Angela,David Wallace,4,1,8.0
Angela,Deangelo,42,5,511.0
Angela,Dwight,1606,275,13829.0
Angela,Erin,229,60,1917.0
Angela,Gabe,38,14,377.0
Angela,Holly,50,7,544.0
Angela,Jan,92,14,844.0
Angela,Jim,635,123,5518.0
Angela,Karen,76,15,681.0
Angela,Kelly,265,73,2337.0
Angela,Kevin,846,195,6830.0
Angela,Meredith,306,82,2548.0
Angela,Michael,1348,167,17580.0
Angela,Nellie,112,26,1035.0
Angela,Oscar,873,187,6887.0
Angela,Pam,883,181,7572.0
Angela,Pete,27,7,259.0
Angela,Phyllis,490,140,4080.0
Angela,Robert California,29,8,331.0
Angela,Roy,15,4,97.0
Angela,Ryan,101,29,920.0
Angela,Stanley,231,72,1697.0
Angela,Toby,178,39,1758.0
Angela,Todd Packer,6,2,56.0
Charles,David Wallace,70,10,668.0
Charles,Dwight,181,23,1745.0
Charles,Erin,11,2,53.0
Charles,Jim,239,27,1875.0
Charles,Kelly,37,6,351.0
Charles,Kevin,61,8,565.0
Charles,Michael,224,20,2578.0
Charles,Oscar,24,2,242.0
Charles,Pam,97,13,658.0
Charles,Phyllis,19,4,139.0
Charles,Ryan,9,3,48.0
Charles,Stanley,46,5,489.0
Charles,Toby,3,1,16.0
Clark,Creed,8,3,87.0
Clark,Darryl,47,12,335.0
Clark,David Wallace,19,3,261.0
Clark,Dwight,354,47,3749.0
Clark,Erin,63,13,617.0
Clark,Jan,7,1,65.0
Clark,Jim,141,15,1397.0
Clark,Kevin,48,12,338.0
Clark,Meredith,28,9,291.0
Clark,Nellie,22,5,197.0
Clark,Oscar,34,11,478.0
Clark,Pam,121,16,1039.0
Clark,Pete,66,13,601.0
Clark,Phyllis,32,10,337.0
Clark,Stanley,39,11,265.0
Clark,Toby,15,3,149.0
Clark,Todd Packer,11,2,327.0
Creed,Darryl,56,15,432.0
Creed,David Wallace,17,3,201.0
Creed,Deangelo,2,1,11.0
Creed,Dwight,361,77,3147.0
Creed,Erin,106,28,890.0
Creed,Gabe,45,10,510.0
Creed,Holly,11,3,67.0
Creed,Jan,15,3,115.0
Creed,Jim,376,77,3305.0
Creed,Karen,9,3,76.0
Creed,Kelly,95,29,654.0
Creed,Kevin,203,62,1507.0
Creed,Meredith,134,44,914.0
Creed,Michael,600,77,7427.0
Creed,Nellie,52,13,447.0
Creed,Oscar,162,54,1143.0
Creed,Pam,340,72,2719.0
Creed,Pete,21,6,141.0
Creed,Phyllis,161,56,1156.0
Creed,Robert California,22,5,398.0
Creed,Ryan,96,27,763.0
Creed,Stanley,105,38,710.0
Creed,Toby,92,25,793.0
Darryl,Deangelo,63,13,781.0
Darryl,Dwight,557,91,4957.0
Darryl,Erin,178,37,1433.0
Darryl,Gabe,152,30,1537.0
Darryl,Holly,64,13,379.0
Darryl,Jan,4,1,33.0
Darryl,Jim,550,86,4684.0
Darryl,Jo,34,2,420.0
Darryl,Karen,9,2,98.0
Darryl,Kelly,150,32,1437.0
Darryl,Kevin,404,88,3387.0
Darryl,Meredith,116,33,1011.0
Darryl,Michael,946,106,10484.0
Darryl,Nellie,95,21,963.0
Darryl,Oscar,264,64,2222.0
Darryl,Pam,382,79,3561.0
Darryl,Pete,25,6,165.0
Darryl,Phyllis,201,57,1691.0
Darryl,Robert California,27,6,253.0
Darryl,Roy,95,15,699.0
Darryl,Ryan,107,21,1052.0
Darryl,Stanley,101,32,786.0
Darryl,Toby,173,29,1722.0
Darryl,Todd Packer,3,1,25.0
David Wallace,Dwight,267,29,2448.0
David Wallace,Erin,43,9,447.0
David Wallace,Holly,16,2,232.0
David Wallace,Jan,49,8,404.0
David Wallace,Jim,204,27,2217.0
David Wallace,Karen,11,2,85.0
David Wallace,Kelly,23,3,226.0
David Wallace,Kevin,26,4,248.0
David Wallace,Meredith,18,3,196.0
David Wallace,Michael,681,65,7505.0
David Wallace,Nellie,4,1,38.0
David Wallace,Oscar,7,3,70.0
David Wallace,Pam,88,11,762.0
David Wallace,Pete,2,1,42.0
David Wallace,Phyllis,45,7,442.0
David Wallace,Robert California,37,4,487.0
